"location","activity","date","change","value","source","roll"
"Greater London","Parks",2020-04-23,8,108,"Google",67.7142857142857
"Greater London","Retail & Rec",2020-04-24,-79,21,"Google",56.2857142857143
"Greater London","Parks",2020-04-24,-5,95,"Google",66.7142857142857
"Greater London","Retail & Rec",2020-04-25,-82,18,"Google",55.4285714285714
"Greater London","Parks",2020-04-25,-25,75,"Google",63.1428571428571
"Greater London","Retail & Rec",2020-04-26,-81,19,"Google",51.1428571428571
"Greater London","Parks",2020-04-26,5,105,"Google",63
"Greater London","Retail & Rec",2020-04-27,-76,24,"Google",51
"Greater London","Parks",2020-04-27,-2,98,"Google",62
"Greater London","Retail & Rec",2020-04-28,-82,18,"Google",51
"Greater London","Parks",2020-04-28,-62,38,"Google",53.8571428571429
"Greater London","Retail & Rec",2020-04-29,-79,21,"Google",46.1428571428571
"Greater London","Parks",2020-04-29,-35,65,"Google",52.7142857142857
"Greater London","Retail & Rec",2020-04-30,-81,19,"Google",40.4285714285714
"Greater London","Parks",2020-04-30,-43,57,"Google",45.1428571428571
"Greater London","Retail & Rec",2020-05-01,-80,20,"Google",34
"Greater London","Parks",2020-05-01,-32,68,"Google",41.1428571428571
"Greater London","Retail & Rec",2020-05-02,-81,19,"Google",38.4285714285714
"Greater London","Parks",2020-05-02,-17,83,"Google",47.2857142857143
"Greater London","Retail & Rec",2020-05-03,-82,18,"Google",40.5714285714286
"Greater London","Parks",2020-05-03,-23,77,"Google",48.8571428571429
"Greater London","Retail & Rec",2020-05-04,-75,25,"Google",44.2857142857143
"Greater London","Parks",2020-05-04,11,111,"Google",57.2857142857143
"Greater London","Retail & Rec",2020-05-05,-77,23,"Google",50.8571428571429
"Greater London","Parks",2020-05-05,0,100,"Google",62.4285714285714
"Greater London","Retail & Rec",2020-05-06,-77,23,"Google",53.8571428571429
"Greater London","Parks",2020-05-06,16,116,"Google",67.8571428571429
"Greater London","Retail & Rec",2020-05-07,-75,25,"Google",60.4285714285714
"Greater London","Parks",2020-05-07,21,121,"Google",74.1428571428571
"Greater London","Retail & Rec",2020-05-08,-79,21,"Google",61.2857142857143
"Greater London","Parks",2020-05-08,32,132,"Google",76.8571428571429
"Greater London","Retail & Rec",2020-05-09,-80,20,"Google",65.4285714285714
"Greater London","Parks",2020-05-09,5,105,"Google",77.1428571428571
"Greater London","Retail & Rec",2020-05-10,-83,17,"Google",63
"Greater London","Parks",2020-05-10,-36,64,"Google",68.5714285714286
"Greater London","Retail & Rec",2020-05-11,-75,25,"Google",54.8571428571429
"Greater London","Parks",2020-05-11,-17,83,"Google",63.7142857142857
"Greater London","Retail & Rec",2020-05-12,-75,25,"Google",48.4285714285714
"Greater London","Parks",2020-05-12,6,106,"Google",60.7142857142857
"Greater London","Retail & Rec",2020-05-13,-77,23,"Google",49
"Greater London","Parks",2020-05-13,-12,88,"Google",59.1428571428571
"Greater London","Retail & Rec",2020-05-14,-75,25,"Google",53.5714285714286
"Greater London","Parks",2020-05-14,8,108,"Google",65.4285714285714
"Greater London","Retail & Rec",2020-05-15,-75,25,"Google",57.1428571428571
"Greater London","Parks",2020-05-15,21,121,"Google",70.8571428571429
"Greater London","Retail & Rec",2020-05-16,-78,22,"Google",58.8571428571429
"Greater London","Parks",2020-05-16,-2,98,"Google",69.5714285714286
