"merged_age_range","date","total"
"Under 25",2020-09-07,0.421505422214977
"Under 25",2020-09-08,0.444781745664268
"Under 25",2020-09-09,0.503284505014137
"Under 25",2020-09-10,0.481195993947051
"Under 25",2020-09-11,0.593834202473828
"Under 25",2020-09-12,0.65672526868018
"Under 25",2020-09-13,0.451857628011804
"Under 25",2020-09-14,0.486418169092053
"Under 25",2020-09-15,0.49822430428489
"Under 25",2020-09-16,0.50497023874848
"Under 25",2020-09-17,0.55437243555387
"Under 25",2020-09-18,0.622155729021278
"Under 25",2020-09-19,0.675937234104499
"Under 25",2020-09-20,0.467365178557273
"Under 25",2020-09-21,0.456584881330887
"Under 25",2020-09-22,0.474447059957244
"Under 25",2020-09-23,0.491148421937354
"Under 25",2020-09-24,0.471414538951157
"Under 25",2020-09-25,0.552176782362519
"Under 25",2020-09-26,0.624177409692002
"Under 25",2020-09-27,0.424876889683663
"Under 25",2020-09-28,0.457259774729868
"Under 25",2020-09-29,0.442409120426074
"Under 25",2020-09-30,0.474117112073298
"Under 25",2020-10-01,0.48559029985597
"Under 25",2020-10-02,0.531102111157014
"Under 25",2020-10-03,0.613058166003018
"Under 25",2020-10-04,0.404141164940757
"Under 25",2020-10-05,0.421682394261821
"Under 25",2020-10-06,0.466525311216319
"Under 25",2020-10-07,0.467530152499246
"Under 25",2020-10-08,0.452862469294731
"Under 25",2020-10-09,0.560785422607296
"Under 25",2020-10-10,0.622812625262952
"Under 25",2020-10-11,0.445108694021997
"Under 25",2020-10-12,0.418304927740699
"Under 25",2020-10-13,0.428089382262811
"Under 25",2020-10-14,0.480356126606097
"Under 25",2020-10-15,0.466678287053421
"Under 25",2020-10-16,0.585054589234643
"Under 25",2020-10-17,0.517793213329114
"Under 25",2020-10-18,0.39132118988634
"Under 25",2020-10-19,0.38070286707571
"Under 25",2020-10-20,0.348673926123193
"Under 25",2020-10-21,0.263361401439592
"Under 25",2020-10-22,0.291002035535625
"Under 25",2020-10-23,0.376320559271662
"Under 25",2020-10-24,0.396717337551969
"Under 25",2020-10-25,0.310903891990013
"Under 25",2020-10-26,0.301290410462309
"Under 25",2020-10-27,0.397905149934175
"Under 25",2020-10-28,0.463492790210232
"Under 25",2020-10-29,0.465508471828521
"Under 25",2020-10-30,0.54965418081344
"Under 25",2020-10-31,0.588105107398036
"Under 25",2020-11-01,0.420161634469451
"Under 25",2020-11-02,0.45674985527286
"Under 25",2020-11-03,0.522496470438455
"Under 25",2020-11-04,0.615574768499661
"Under 25",2020-11-05,0.165735821632364
"Under 25",2020-11-06,0.165234900754009
"Under 25",2020-11-07,0.0724955491554024
"Under 25",2020-11-08,0.0748531767625085
"Under 25",2020-11-09,0.136226482702708
"Under 25",2020-11-10,0.158141021249167
"Under 25",2020-11-11,0.143653309617714
"Under 25",2020-11-12,0.151407084890448
"Under 25",2020-11-13,0.155618419700088
"Under 25",2020-11-14,0.0826159506138959
"Under 25",2020-11-15,0.0709777888892502
"Under 25",2020-11-16,0.14213854887778
"Under 25",2020-11-17,0.15275687168841
"Under 25",2020-11-18,0.134708722436556
"Under 25",2020-11-19,0.136559430112872
"Under 25",2020-11-20,0.141625629894554
"Under 25",2020-11-21,0.0816051102785336
"Under 25",2020-11-22,0.0768778569594507
"Under 25",2020-11-23,0.133862856043167
"Under 25",2020-11-24,0.147018778033965
"Under 25",2020-11-25,0.131511227488496
"Under 25",2020-11-26,0.14280144417189
"Under 25",2020-11-27,0.14144865784771
"Under 25",2020-11-28,0.0809272173533352
"Under 25",2020-11-29,0.0724895501029671
"Under 25",2020-11-30,0.150393245028869
"Under 25",2020-12-01,0.167763501355524
"Under 25",2020-12-02,0.318156746384393
"Under 25",2020-12-03,0.314953252383897
"Under 25",2020-12-04,0.426409647580903
"Under 25",2020-12-05,0.490635502954129
"Under 25",2020-12-06,0.333319351414827
"Under 25",2020-12-07,0.317991772442419
"Under 25",2020-12-08,0.353899100794413
"Under 25",2020-12-09,0.366890048843238
"25 to 64",2020-01-01,0.86465410162246
"25 to 64",2020-01-02,1.0289858562971
"25 to 64",2020-01-03,1.09714739970893
"25 to 64",2020-01-04,0.985067770571695
"25 to 64",2020-01-05,0.776330138765255
"25 to 64",2020-01-06,0.888536773499086
"25 to 64",2020-01-07,0.933324791364005
"25 to 64",2020-01-08,0.974264427257745
"25 to 64",2020-01-09,0.992402624760921
"25 to 64",2020-01-10,1.109525387632
"25 to 64",2020-01-11,1.04319474790914
"25 to 64",2020-01-12,0.77955360824345
"25 to 64",2020-01-13,0.913226436688593
"25 to 64",2020-01-14,0.995182136622698
"25 to 64",2020-01-15,1.00200447265221
"25 to 64",2020-01-16,1.07250719002606
"25 to 64",2020-01-17,1.12361738913744
"25 to 64",2020-01-18,1.07636343960057
"25 to 64",2020-01-19,0.880451125163614
"25 to 64",2020-01-20,0.940721462436529
"25 to 64",2020-01-21,1.0498293854021
"25 to 64",2020-01-22,1.0735187390255
"25 to 64",2020-01-23,1.09879622457801
"25 to 64",2020-01-24,1.14567365309842
"25 to 64",2020-01-25,1.07282751387588
"25 to 64",2020-01-26,0.793453415438999
"25 to 64",2020-01-27,0.905785931826093
"25 to 64",2020-01-28,0.996881538941746
"25 to 64",2020-01-29,1.03933962227797
"25 to 64",2020-01-30,1.08065577918817
"25 to 64",2020-01-31,1.16292056353876
"25 to 64",2020-02-01,1.1176189035708
"25 to 64",2020-02-02,0.858021712016174
"25 to 64",2020-02-03,0.940022369683587
"25 to 64",2020-02-04,1.02228153431752
"25 to 64",2020-02-05,1.06081817936594
"25 to 64",2020-02-06,1.10302225150897
"25 to 64",2020-02-07,1.15376154932056
"25 to 64",2020-02-08,1.09033068339608
"25 to 64",2020-02-09,0.736527933524211
"25 to 64",2020-02-10,0.906600790742303
"25 to 64",2020-02-11,1.01002380833105
"25 to 64",2020-02-12,1.05242007478398
"25 to 64",2020-02-13,1.08129305505781
"25 to 64",2020-02-14,1.13682934301338
"25 to 64",2020-02-15,1.02247260468408
"25 to 64",2020-02-16,0.790795289457155
"25 to 64",2020-02-17,1.00761744565573
"25 to 64",2020-02-18,1.08842559944715
"25 to 64",2020-02-19,1.06404277278747
"25 to 64",2020-02-20,1.0900047398296
"25 to 64",2020-02-21,1.14996486874269
"25 to 64",2020-02-22,1.06328411103789
"25 to 64",2020-02-23,0.834644814639266
"25 to 64",2020-02-24,0.910332282606881
"25 to 64",2020-02-25,1.0352990459969
"25 to 64",2020-02-26,1.17656860742779
"25 to 64",2020-02-27,1.0971496475956
"25 to 64",2020-02-28,1.10542299446763
"25 to 64",2020-02-29,1.02487671947274
"25 to 64",2020-03-01,0.824853020324749
"25 to 64",2020-03-02,0.890549756007959
"25 to 64",2020-03-03,0.985453283134813
"25 to 64",2020-03-04,1.00630018406981
"25 to 64",2020-03-05,1.05198286082756
"25 to 64",2020-03-06,1.13650564733356
"25 to 64",2020-03-07,1.05721931281462
"25 to 64",2020-03-08,0.814239623434026
"25 to 64",2020-03-09,0.868887996156756
"25 to 64",2020-03-10,0.971487163282634
"25 to 64",2020-03-11,0.992272247334328
"25 to 64",2020-03-12,0.965418993229365
"25 to 64",2020-03-13,0.938444353244471
"25 to 64",2020-03-14,0.776586397845112
"25 to 64",2020-03-15,0.565569408959948
"25 to 64",2020-03-16,0.621665420695201
"25 to 64",2020-03-17,0.473639835891428
"25 to 64",2020-03-18,0.424929255795373
"25 to 64",2020-03-19,0.380959468676663
"25 to 64",2020-03-20,0.338056303780688
"25 to 64",2020-03-21,0.146821841494446
"25 to 64",2020-03-22,0.0928658178646618
"25 to 64",2020-03-23,0.149913809602715
"25 to 64",2020-03-24,0.120412545005902
"25 to 64",2020-03-25,0.110304922614896
"25 to 64",2020-03-26,0.112266203730464
"25 to 64",2020-03-27,0.110936578767876
