Borough,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
Havering,2021-11-12,-8.714285714285714,3.5714285714285716,1.4285714285714286,-20.714285714285715,-23.142857142857142,6.142857142857143
Havering,2021-11-13,-8.428571428571429,3.7142857142857144,1.7142857142857142,-19.857142857142858,-23.285714285714285,6.142857142857143
Havering,2021-11-14,-7.857142857142857,4.285714285714286,0.7142857142857143,-20.428571428571427,-23.285714285714285,6.142857142857143
Havering,2021-11-15,-7.285714285714286,4.285714285714286,0.42857142857142855,-20.285714285714285,-23.285714285714285,6.142857142857143
Havering,2021-11-16,-6.714285714285714,4.428571428571429,1.0,-20.0,-23.285714285714285,6.142857142857143
Havering,2021-11-17,-6.285714285714286,4.428571428571429,3.142857142857143,-20.0,-23.285714285714285,6.142857142857143
Havering,2021-11-18,-5.142857142857143,5.285714285714286,2.4285714285714284,-19.714285714285715,-23.142857142857142,6.0
Havering,2021-11-19,-4.571428571428571,5.428571428571429,4.142857142857143,-19.714285714285715,-23.0,6.0
Havering,2021-11-20,-4.285714285714286,5.428571428571429,3.5714285714285716,-19.285714285714285,-23.0,6.0
Hillingdon,2021-01-01,-14.857142857142858,-3.4285714285714284,2.142857142857143,-29.857142857142858,-34.0,10.714285714285714
Hillingdon,2021-01-02,-23.142857142857142,-7.428571428571429,9.428571428571429,-36.57142857142857,-35.0,12.0
Hillingdon,2021-01-03,-31.142857142857142,-11.571428571428571,14.428571428571429,-43.42857142857143,-34.857142857142854,12.571428571428571
Hillingdon,2021-01-04,-38.0,-14.0,14.714285714285714,-50.285714285714285,-38.285714285714285,14.571428571428571
Hillingdon,2021-01-05,-46.285714285714285,-18.714285714285715,14.714285714285714,-57.42857142857143,-42.142857142857146,17.0
Hillingdon,2021-01-06,-53.57142857142857,-21.857142857142858,18.428571428571427,-64.85714285714286,-45.42857142857143,19.285714285714285
Hillingdon,2021-01-07,-60.42857142857143,-23.857142857142858,24.142857142857142,-73.85714285714286,-52.142857142857146,22.428571428571427
